username,useraddress,rating,review_date,review_text
Summer O.,"Salt Lake City, UT",5 star rating,"Oct 17, 2023","Make sure you have a reservation, or stop-in to get your name on the list and check out Little Italy and/or the local church. We ordered the house red wine (which is their own label), a salad to share as a starter, meatballs and calamari as a first course, and a Rubirosa Surprene pizza as a second course. We enjoyed everything. People choose Rubirosa because of their name and legacy in NYC pizza. They did not disappoint. The restaurant is very narrow, but long. The tables are packed in. It's everything I think of when I think NY Italian restaurant. I think family, togetherness, closeness. It was hopping, and I liked it like that."
Nicole K.,"Bellerose, NY",4 star rating,"Oct 17, 2023","Rubirosa is a fantastic, classic NY establishment. The inside is small- a reservation is required. The reservation window opens on resy a week before. Once inside the ambiance is cozy and intimate. The menu includes appetizers, salads, pasta dishes and pizza. There's a nice drink menu too.We had the arugula salad which was nicely dressed and flavorful. Homemade mozzarella sticks are a great treat. They are fried to perfection. For our main lunch we had the infamous Tie Dye pie. A delicious vodka sauced based pie with a swirl of pesto! Definitely make your way here when in the area."
Darian B.,"New York, NY",5 star rating,"Oct 11, 2023","LOVED this restaurant! Went for drinks and apps and left with a whole pie to take home. It was busy, but we got lucky walking in to get a table without a wait.We ordered a few things to share, but the mushroom pasta takes the cake - it was recommended by our serve (Alicia) and she nailed it! It was different and amazing and I would definitely order it again.Alicia was such a great serve - I would request to have her if/when I go back. The pizza takeout was delish and heated up perfectly in the oven. SO good! We got a dessert platter to share - the small is massive! She tried to warn us, and while it was huge it was also delish. I am not a cannoli girl and these were GREAT."
Kelley S.,"San Francisco, CA",4 star rating,"Oct 2, 2023","I really liked this place! I saw some of their pizzas on Instagram and had to try. I really liked the vibe of the restaurant, we sat outdoors and we happened to be there when there was this festival so it was really cool to see all that around while we were eating. Their selection of pizzas and pastas are diverse but not overwhelming. The shrimp papparadelle we got was really good. And the half honey pig half tie dye pizza was really good. The hot honey on the honey pig worked so well with the saltiness of the meat. I would definitely come back, the only thing was the lack of service, but also with the hectic street fair and it being a weekend I understand the lack of service."
Kritika P.,"West Loop, Chicago, IL",5 star rating,"Sep 10, 2023","Amazing food and amazing service! The Rendang Nasi Lamek is a must try! We also tried the BBQ Char Siu Buns, Uncle Plumps dumplings and the Roti Canai . The roti canai blew us away! Definitely going back here again!"
Adhrit S.,"New York, NY",5 star rating,"Oct 22, 2023","I loveee this place. The vibe is so warm, and casual, and homey. Walk in, plop down, and get some delicious food.I've been in the past and it was delicious. Went again w my boys and it was delicious as always. Everything on the Malaysian menu is such an amazing blend of East Asian and Indian flavor and textures. We absolutely love it.This time we even chatted with the owner, Peter, for a while and learned about the genesis of the restaurant and about his story as well. If you've been to LoveMama, you already know how warm and friendly Peter is. Definitely a staple spot for me !!!!!"
Iryna H.,"Brooklyn, NY",1 star rating,"Oct 25, 2023","Be aware, I ordered beef Pho. The broth was looking much darker and cloudier than it should have been, The taste was slightly off too. A few min after finishing eating it I started getting an indigestion and some stomach discomfort. What a shame. Never ordering again from here."
Nicolas L.,"New York, NY",4 star rating,"Oct 20, 2023","The place is very casual but it's got a good amount of seating. It was very pretty empty when we went but the atmosphere was relatively pleasant and allowed for easy conversation. The service was a not great. Our server seemed very disinterested in serving us and like he wanted to go home. However he was still easy to get attention of and was very quick with our order. The food was quite good. It's not my favorite food in the world but if you love south East Asian curries and dishes, it's a great option. I would definitely consider going here next time I'm in the mood for some Thai, Malay, or Vietnamese food. Definitely worth checking out!"
Suchi O.,"South Brunswick Township, NJ",4 star rating,"Oct 15, 2023","Did a takeout for dinner from this place.Food was tasty, service was quick. Portion size is decent and price is good. I have eaten not-so-good food for $5 to $7 more than they charge for an entree dish here. We ordered the vegetarian clay-pot curry and veg pad thai. Nothing exceptional about the food, but not bad. Dont go to this place for ambience, it's a mom and pop shop for some hot tasty food. Definitely don't mind swinging by again some day."
Athena C.,"Walnut Creek, CA",4 star rating,"Oct 7, 2023","Wow I cannot believe I was here again after an almost a decade away and the owner remembered me from my East Village days when his place was a dumpling joint. The last memory I had was coming here during the landing of the infamous hurricane Sandy and he was the only one who opened his place in the area! Years later, he is still hustling and selling affordable Asian food to the neighborhood. It was so good to see his place thrive and me and my friends had a great time trying out different dishes. We didn't even really order the food and they just came upon his recommendations! New York always makes me smile knowing the small business owners keep her strong and thriving. Don't miss out this friendly and delicious Asian eatery."
Kelly Z.,"Queens, NY",5 star rating,"Aug 8, 2023","I've been wanting to come here since there's not many Malaysian restaurants left in NYC. Do yourself a favor and come here if you're craving Southeast Asian food! They offer Vietnamese, Malaysian and Thai cuisines.We ordered the shrimp curry lakesa in spicy, which is the recommended way because it is full flavor, pungent and rich! We also got the Uncle Plump's dumplings and this was surprisingly really yummy and different! It is made with pork and tofu skin. We also found out the owners are both from Malaysia and started this amazing establishment about 10 years ago! They were both really sweet! Come support this local small business, it will not disappoint!"
Angela J.,"Philadelphia, PA",5 star rating,"Oct 23, 2023",This was a cozy little spot with really friendly staff. I ordered the shrimp curry lakesa and it was so flavorful. The noodles were perfectly cooked and chewy. The soup was really delicious and had a nice heat. I'd definitely come again if I'm in the area. I want to try the beef randang next time!
Mei H.,"Queens, NY",4 star rating,"Aug 6, 2023","Came here on a Saturday evening for dinner because my friend and I were looking for Thai food but we ended up ordering Malaysian food on the menu because it was recommended by the place. Staff/owner is so friendly and he came over to us and asked if food is good. We ordered two Thai tea asked for less ice/sugar, but usually drinks are prefix  so they added more milk for us which helped a little but still a bit too sweet for me. For food, we ordered curry laksa noodle, soup base was pretty good. Ordered their signature uncles dumplings, it's pork dumplings with a mix sauce of peanut butter and soy sauce I believe. It's a little bit too sweet as well. Overall, great experience here and will come back!"
Mickie K.,"Staten Island, NY",5 star rating,"Sep 13, 2023","This time I ordered uncle plump's dumpling, vegetable pad see ew, and malay spring rolls, the spring rolls was very crunchy and delicious. The dumplings were unique, never had dumplings with pork and tofu skin mixed inside it, taste really good. Very fast service, took about 20-25 mins to reach my location which isn't bad at all, everything was still hot by the time it goes to me. The driver was really nice too and I was just starving, needed a quick bite."
Kritika P.,"West Loop, Chicago, IL",5 star rating,"Sep 10, 2023","Amazing food and amazing service! The Rendang Nasi Lamek is a must try! We also tried the BBQ Char Siu Buns, Uncle Plumps dumplings and the Roti Canai . The roti canai blew us away! Definitely going back here again!"
Adhrit S.,"New York, NY",5 star rating,"Oct 22, 2023","I loveee this place. The vibe is so warm, and casual, and homey. Walk in, plop down, and get some delicious food.I've been in the past and it was delicious. Went again w my boys and it was delicious as always. Everything on the Malaysian menu is such an amazing blend of East Asian and Indian flavor and textures. We absolutely love it.This time we even chatted with the owner, Peter, for a while and learned about the genesis of the restaurant and about his story as well. If you've been to LoveMama, you already know how warm and friendly Peter is. Definitely a staple spot for me !!!!!"
Iryna H.,"Brooklyn, NY",1 star rating,"Oct 25, 2023","Be aware, I ordered beef Pho. The broth was looking much darker and cloudier than it should have been, The taste was slightly off too. A few min after finishing eating it I started getting an indigestion and some stomach discomfort. What a shame. Never ordering again from here."
Nicolas L.,"New York, NY",4 star rating,"Oct 20, 2023","The place is very casual but it's got a good amount of seating. It was very pretty empty when we went but the atmosphere was relatively pleasant and allowed for easy conversation. The service was a not great. Our server seemed very disinterested in serving us and like he wanted to go home. However he was still easy to get attention of and was very quick with our order. The food was quite good. It's not my favorite food in the world but if you love south East Asian curries and dishes, it's a great option. I would definitely consider going here next time I'm in the mood for some Thai, Malay, or Vietnamese food. Definitely worth checking out!"
Suchi O.,"South Brunswick Township, NJ",4 star rating,"Oct 15, 2023","Did a takeout for dinner from this place.Food was tasty, service was quick. Portion size is decent and price is good. I have eaten not-so-good food for $5 to $7 more than they charge for an entree dish here. We ordered the vegetarian clay-pot curry and veg pad thai. Nothing exceptional about the food, but not bad. Dont go to this place for ambience, it's a mom and pop shop for some hot tasty food. Definitely don't mind swinging by again some day."
Athena C.,"Walnut Creek, CA",4 star rating,"Oct 7, 2023","Wow I cannot believe I was here again after an almost a decade away and the owner remembered me from my East Village days when his place was a dumpling joint. The last memory I had was coming here during the landing of the infamous hurricane Sandy and he was the only one who opened his place in the area! Years later, he is still hustling and selling affordable Asian food to the neighborhood. It was so good to see his place thrive and me and my friends had a great time trying out different dishes. We didn't even really order the food and they just came upon his recommendations! New York always makes me smile knowing the small business owners keep her strong and thriving. Don't miss out this friendly and delicious Asian eatery."
Kelly Z.,"Queens, NY",5 star rating,"Aug 8, 2023","I've been wanting to come here since there's not many Malaysian restaurants left in NYC. Do yourself a favor and come here if you're craving Southeast Asian food! They offer Vietnamese, Malaysian and Thai cuisines.We ordered the shrimp curry lakesa in spicy, which is the recommended way because it is full flavor, pungent and rich! We also got the Uncle Plump's dumplings and this was surprisingly really yummy and different! It is made with pork and tofu skin. We also found out the owners are both from Malaysia and started this amazing establishment about 10 years ago! They were both really sweet! Come support this local small business, it will not disappoint!"
Angela J.,"Philadelphia, PA",5 star rating,"Oct 23, 2023",This was a cozy little spot with really friendly staff. I ordered the shrimp curry lakesa and it was so flavorful. The noodles were perfectly cooked and chewy. The soup was really delicious and had a nice heat. I'd definitely come again if I'm in the area. I want to try the beef randang next time!
Mei H.,"Queens, NY",4 star rating,"Aug 6, 2023","Came here on a Saturday evening for dinner because my friend and I were looking for Thai food but we ended up ordering Malaysian food on the menu because it was recommended by the place. Staff/owner is so friendly and he came over to us and asked if food is good. We ordered two Thai tea asked for less ice/sugar, but usually drinks are prefix  so they added more milk for us which helped a little but still a bit too sweet for me. For food, we ordered curry laksa noodle, soup base was pretty good. Ordered their signature uncles dumplings, it's pork dumplings with a mix sauce of peanut butter and soy sauce I believe. It's a little bit too sweet as well. Overall, great experience here and will come back!"
Mickie K.,"Staten Island, NY",5 star rating,"Sep 13, 2023","This time I ordered uncle plump's dumpling, vegetable pad see ew, and malay spring rolls, the spring rolls was very crunchy and delicious. The dumplings were unique, never had dumplings with pork and tofu skin mixed inside it, taste really good. Very fast service, took about 20-25 mins to reach my location which isn't bad at all, everything was still hot by the time it goes to me. The driver was really nice too and I was just starving, needed a quick bite."
John C.,"Downtown, Dallas, TX",5 star rating,"Sep 30, 2023","Tapas' were great! Recommend the corn, the calamari was a tad spicy but great with the drinks. Baijiu drinks were fire"
Reni N.,"Sacramento, CA",5 star rating,"Sep 22, 2023","The earl grey gimlet is delicious, great tea flavor! You can't go wrong with the food! Our favorite was the yuzu shrimp, duck fried rice, pork belly, and mushroom salad :)"
Jack W.,"Berkeley, CA",5 star rating,"Oct 6, 2023",Food portions are small but priced accordingly. Can share a lot of food with friends.The baijiu cocktails here are very good. Perhaps the best ive tried in new york.
Jen S.,"Brooklyn, NY",4 star rating,"Oct 27, 2023","Besides their disappointing dry, hard and crispy tofu, I love this place. The service was great and the place really had a theme going on with its dark vibes and warm red and orange lights.  If you love duck, be prepared to smell the aroma of duck fried rice here. Not only did it smell good, it tasted great! The cocktails were very good and strong here. I don't remember the names of what I had but the drink with the yellow lollipop was my favorite! Will defs get that again."
Andrew H.,"New York, NY",1 star rating,"Oct 17, 2023","sometimes i think im treated too well in life, so i come to ye's apothecary to get humbled and treated like ass once in a whilebut honestly i rarely ever give one stars - i've given 3 before - and almost never about service (the only one about service was mcdonald's). but please check out the reviews for this place on google or yelp - the food is fine, but the service is absolutely atrocious. our waitress came around every 5 minutes demanding us to order more food or more drinks. if we said we were ok, they would say extremely passive aggressively, ""we're going to take away your plates then,"" even though we were midway through eating and the plate was half full of food. we told them that we still had half of our dish left; they would glare at us, walk away, come back 5 minutes later, and repeat the same phrase. at the end, they refused to let us tip less than 20% - not an enforced rule, but the waitress held onto the payment machine and blocked us from hitting the ""custom tip"" for less than 20% LOL. wtf?the really weird thing is we had a 2 hr table reserved from 7-9pm (for the correct amount of people too, it's not like we squeezed in extras) and this started happening at 8:10pm. it's also not like we barely ordered anything and were just taking up space - we ordered $200 of food between 5 people. i'm not sure what you can do to get treated normally here...honesty, i'm quite torn. this is the most caustic review i've ever left at a place by a large margin, and i almost always err on the side of the restaurant, but we were honestly shocked by the service we had at this establishment - hands down the worst we've experienced in the city (or honestly really anywhere, except maybe the Philadelphia McDonald's that is now shut down?)"
Tiffany P.,"Cypress, TX",3 star rating,"Oct 6, 2023","I came here 2-3 times. I would only come here for the drinks. They are small but strong. Very creative. The food is mediocre. Either too sweet, or two salty. Crab was under salted. Do NOT come for the food. The ambience was nice tho. Service was good tho. We got the Szechwan beef but I was soooo sweet and not spicy. And super hard (over fried). We also got the soft shell crab which came with a super sweet sauce and wasn't seasoned. They were able to switch us out for the spicy chicken tho, it was spicy but super salty and soggy. Come here for the drinks and vibes only."
Jenny J.,"Yonkers, NY",3 star rating,"Oct 18, 2023","Mediocre food that lacks spice, decent drinks though. They are strict with the 90 mins per table and have no shame in repeatedly reminding you."
Becky L.,"New York, NY",3 star rating,"Oct 1, 2023","Food 3.5/5Ambience 4/5Price 3/5I've had this spot bookmarked for a while because I saw others posting their iconic sign all over social media and I love Szechuan food so I decided to give this spot a try.It's a cool speakeasy vibe so lighting is dim. Each party has a 90 min time limit so be aware!They have a fairly large drink menu with unique names and flavors but I thought my drink was just ok. The food was ok but if you factor in the price... not really worth.Overall, I don't regret giving this spot a try but probably won't return. There's many other Szechuan restaurants and speakeasies."
Simon P.,"New York, NY",5 star rating,"Oct 23, 2023","We were a table of 5 in this modern Chinese restaurant and bar on a saturday evening. It is a dimmed light cozy setting with some old Chinese inspired decors. The table is a bit small for 5 people so we decided to get drinks and appetizers first before getting the mains. The cocktails are all Chinese ingredients inspired and have a good range of strong to weak ones with different liquor bases. I particularly liked the Rice Gorg and HK Milk Punch. The chicken wings were really flavourful and tender, a little bit spicy that helps elevated the flavours. The beef skewers are extremely juicy and tender as well. Overall we enjoyed almost all the drinks and dishes we ordered, and definitely feeling coming back for more in the future!"
Kevin L.,"Westbury, NY",5 star rating,"Oct 4, 2023","I came for my birthday because I wanted some Szechuan food. The moment you walk in, you get transported back to 1930s Shanghai. The decor is beautiful since I think Chinese interior designs from 1930 are amazing. The place is small so you do feel very close to your neighbors.The alcohol list is very unique and highly recommend trying out their cocktails. I love that it is a nice Asian & Western fusion and there are liquors that I've never heard of before. Definitely worth getting one or two a try!We ordered a bunch of dishes to share and all of them were amazing. My favorite was the Chairman's Pork Belly, but my friend likes the Truffle Mushroom Salad. The Changsha Spiced Chicken is ma-la, definitely more on the numbing your tongue side than being spicy. I highly recommend that if you like spicy food.Our waitress Tsering is the cutest. She kept on checking up on us and has a wonderful personality. We chit-chatted quite a bit, in between her managing her tables. Why you want to go:1. Beautiful ambiance, great for date night or just to hang out with friends2. Food is good (and they come quick). I love tapas style as everyone get to try different things3. Cocktails are super unique4. Tsering!Why you want to skip:1. Small place. It feels claustrophobic. Not ideal for large groups or plus sizes2. Time limit. I feel like 90 mins feels rush. We didn't even get to look at desserts."
John C.,"Downtown, Dallas, TX",5 star rating,"Sep 30, 2023","Tapas' were great! Recommend the corn, the calamari was a tad spicy but great with the drinks. Baijiu drinks were fire"
Reni N.,"Sacramento, CA",5 star rating,"Sep 22, 2023","The earl grey gimlet is delicious, great tea flavor! You can't go wrong with the food! Our favorite was the yuzu shrimp, duck fried rice, pork belly, and mushroom salad :)"
Jack W.,"Berkeley, CA",5 star rating,"Oct 6, 2023",Food portions are small but priced accordingly. Can share a lot of food with friends.The baijiu cocktails here are very good. Perhaps the best ive tried in new york.
Jen S.,"Brooklyn, NY",4 star rating,"Oct 27, 2023","Besides their disappointing dry, hard and crispy tofu, I love this place. The service was great and the place really had a theme going on with its dark vibes and warm red and orange lights.  If you love duck, be prepared to smell the aroma of duck fried rice here. Not only did it smell good, it tasted great! The cocktails were very good and strong here. I don't remember the names of what I had but the drink with the yellow lollipop was my favorite! Will defs get that again."
Andrew H.,"New York, NY",1 star rating,"Oct 17, 2023","sometimes i think im treated too well in life, so i come to ye's apothecary to get humbled and treated like ass once in a whilebut honestly i rarely ever give one stars - i've given 3 before - and almost never about service (the only one about service was mcdonald's). but please check out the reviews for this place on google or yelp - the food is fine, but the service is absolutely atrocious. our waitress came around every 5 minutes demanding us to order more food or more drinks. if we said we were ok, they would say extremely passive aggressively, ""we're going to take away your plates then,"" even though we were midway through eating and the plate was half full of food. we told them that we still had half of our dish left; they would glare at us, walk away, come back 5 minutes later, and repeat the same phrase. at the end, they refused to let us tip less than 20% - not an enforced rule, but the waitress held onto the payment machine and blocked us from hitting the ""custom tip"" for less than 20% LOL. wtf?the really weird thing is we had a 2 hr table reserved from 7-9pm (for the correct amount of people too, it's not like we squeezed in extras) and this started happening at 8:10pm. it's also not like we barely ordered anything and were just taking up space - we ordered $200 of food between 5 people. i'm not sure what you can do to get treated normally here...honesty, i'm quite torn. this is the most caustic review i've ever left at a place by a large margin, and i almost always err on the side of the restaurant, but we were honestly shocked by the service we had at this establishment - hands down the worst we've experienced in the city (or honestly really anywhere, except maybe the Philadelphia McDonald's that is now shut down?)"
Tiffany P.,"Cypress, TX",3 star rating,"Oct 6, 2023","I came here 2-3 times. I would only come here for the drinks. They are small but strong. Very creative. The food is mediocre. Either too sweet, or two salty. Crab was under salted. Do NOT come for the food. The ambience was nice tho. Service was good tho. We got the Szechwan beef but I was soooo sweet and not spicy. And super hard (over fried). We also got the soft shell crab which came with a super sweet sauce and wasn't seasoned. They were able to switch us out for the spicy chicken tho, it was spicy but super salty and soggy. Come here for the drinks and vibes only."
Jenny J.,"Yonkers, NY",3 star rating,"Oct 18, 2023","Mediocre food that lacks spice, decent drinks though. They are strict with the 90 mins per table and have no shame in repeatedly reminding you."
Becky L.,"New York, NY",3 star rating,"Oct 1, 2023","Food 3.5/5Ambience 4/5Price 3/5I've had this spot bookmarked for a while because I saw others posting their iconic sign all over social media and I love Szechuan food so I decided to give this spot a try.It's a cool speakeasy vibe so lighting is dim. Each party has a 90 min time limit so be aware!They have a fairly large drink menu with unique names and flavors but I thought my drink was just ok. The food was ok but if you factor in the price... not really worth.Overall, I don't regret giving this spot a try but probably won't return. There's many other Szechuan restaurants and speakeasies."
Simon P.,"New York, NY",5 star rating,"Oct 23, 2023","We were a table of 5 in this modern Chinese restaurant and bar on a saturday evening. It is a dimmed light cozy setting with some old Chinese inspired decors. The table is a bit small for 5 people so we decided to get drinks and appetizers first before getting the mains. The cocktails are all Chinese ingredients inspired and have a good range of strong to weak ones with different liquor bases. I particularly liked the Rice Gorg and HK Milk Punch. The chicken wings were really flavourful and tender, a little bit spicy that helps elevated the flavours. The beef skewers are extremely juicy and tender as well. Overall we enjoyed almost all the drinks and dishes we ordered, and definitely feeling coming back for more in the future!"
Kevin L.,"Westbury, NY",5 star rating,"Oct 4, 2023","I came for my birthday because I wanted some Szechuan food. The moment you walk in, you get transported back to 1930s Shanghai. The decor is beautiful since I think Chinese interior designs from 1930 are amazing. The place is small so you do feel very close to your neighbors.The alcohol list is very unique and highly recommend trying out their cocktails. I love that it is a nice Asian & Western fusion and there are liquors that I've never heard of before. Definitely worth getting one or two a try!We ordered a bunch of dishes to share and all of them were amazing. My favorite was the Chairman's Pork Belly, but my friend likes the Truffle Mushroom Salad. The Changsha Spiced Chicken is ma-la, definitely more on the numbing your tongue side than being spicy. I highly recommend that if you like spicy food.Our waitress Tsering is the cutest. She kept on checking up on us and has a wonderful personality. We chit-chatted quite a bit, in between her managing her tables. Why you want to go:1. Beautiful ambiance, great for date night or just to hang out with friends2. Food is good (and they come quick). I love tapas style as everyone get to try different things3. Cocktails are super unique4. Tsering!Why you want to skip:1. Small place. It feels claustrophobic. Not ideal for large groups or plus sizes2. Time limit. I feel like 90 mins feels rush. We didn't even get to look at desserts."
Grace L.,"New York, NY",5 star rating,"Oct 17, 2023","When in NYC, You have to get pizza! One of my favorite pizza place in NYC is Julianas! I went with my Husband and got a large half white and half margherita and a bottle of wine. It was enough for two BUT if we were super hungry, we would love ordered another small pie or a side! Also do not be fooled by the lines - they move pretty quickly. It looked long so we were going to head to another place but we ended up waiting only 15 minues or so. Highly recommend!! Also, They need give Jamal a raise - He was our server and honestly he made Julianas 200% better. His service and his smile was excellent!"
Lena S.,"Brooklyn, NY",4 star rating,"Oct 13, 2023","There is alway a line outside to get in. Luckily it was moving relatively fast. There is not much space inside or outside. The service was very fast and quite good. Unfortunately by the time we got it some items on the menu were not available.Margarita pizza was good, the other one- special pizza number 1 was not, it was just ok."
Sandy D.,"New York, NY",5 star rating,"Sep 28, 2023","So delicious a guy was even broadcasting his meal live when we were there!The place was super packed, even on a weeknight. But we luckily beat the rush for a table of 2. For the Classics, you can mix and match. So we went with the Medium Half Margherita Half White Pizza ($25.50), with sausage and fennel (+$6) as toppings for the White pizza. The pizza came super quick. I don't think it came extremely hot unfortunately. Both were great, but I prefer the classic tomato base, especially when the tomato sauce tasted so fresh! Both had an easy to eat, slightly crispy crust. Like all pizza pies, the heat beats us before we finish, and we're left with cold pizza at the end. I really wish we could just pop them in the oven again! The toppings are pricey, but from trying the sausage and fennel which were delicious, I think they could be worth adding in. Check this notable place out whenever you're in the area!"
K I.,"Yorba Linda, CA",5 star rating,"Oct 29, 2023","Came here twice during our vk, it was that good. More in the craft pizza category than classic, the pizza delivered. Order ""well done"" for a crispy crust. We got sausage the first time and the white pie with sweet onions the second, both are a must. Their vanilla egg cream is out of control, so is their root-beer float. Cappuccino on point. Excellent service. There is always a line 10-20 min but worth it. Super cute on the inside, the waitstaff does not make you feel rushed in the slightest. Loveeeee"
